company,count,percent
"Paxful Holdings, Inc.",50,0.0
FIRST HERITAGE CREDIT LLC,50,0.0
"Roadrunner Account Services, LLC",50,0.0
"Round Up Ventures, L.P.",49,0.0
"Flatonia Investments, LLC",49,0.0
COOLEY ENTERPRISES INC,49,0.0
"Long & Foster Financial Services, Inc.",49,0.0
"Bitstamp USA, Inc.",49,0.0
"Capital Accounts, LLC",49,0.0
Great American Finance Co,48,0.0
MIDCOUNTRY FINANCIAL CORP,48,0.0
AUTOMOBILE ACCEPTANCE CORPORATION,47,0.0
ClearPath Lending,47,0.0
"Open Dealer Exchange, LLC",47,0.0
Kashable LLC,47,0.0
Premier Auto Credit,47,0.0
VIRGINIA HOUSING DEVELOPMENT AUTHORITY,47,0.0
"Americor Funding, LLC",46,0.0
AmWest Funding Corp.,46,0.0
"PatientFi, Inc.",46,0.0
"Commerce Home Mortgage, Inc",46,0.0
Scott Fetzer Financial Group Inc.,46,0.0
BTH Management,45,0.0
Four Directions Lending LLC,45,0.0
ASTORIA BANK,45,0.0
Lac Courte Oreilles Financial Services II,45,0.0
"North State Acceptance, LLC",44,0.0
JAMES B. NUTTER & COMPANY,44,0.0
EMBRACE HOME LOANS,44,0.0
CRED Technologies dba cred.ai,44,0.0
"Reliable Credit Association, Inc.",44,0.0
CADENCE BANCORPORATION,44,0.0
"Lil' Wave Financial, Inc.",44,0.0
"Go Capital Holdings, LLC",44,0.0
"JFQ Lending, LLC",43,0.0
"HABITAT FOR HUMANITY INTERNATIONAL, INC.",43,0.0
